clue;clue_no;gold_guesses;model_guesses;top-5-acc;rank
structure;2;garage, bone;('table', 'bone');0;14
tool;2;garage, bone;('list', 'table');0;15
trash;2;garage, bone;('garage', 'dope');0;43
underground;2;garage, bone;('garage', 'dope');0;36
bronze;2;gold, silver;('silver', 'gold');1;0
coin;2;gold, silver;('silver', 'gold');1;0
commodity;2;gold, silver;('gold', 'plant');1;1
currency;2;gold, silver;('gold', 'silver');1;0
element;2;gold, silver;('above', 'arrow');0;44
jewelry;2;gold, silver;('silver', 'gold');1;0
luxury;2;gold, silver;('silver', 'lace');1;2
medal;2;gold, silver;('gold', 'cup');1;1
metal;2;gold, silver;('silver', 'gold');1;0
money;2;gold, silver;('gold', 'tip');1;4
precious;2;gold, silver;('gold', 'silver');1;0
treasure;2;gold, silver;('gold', 'silver');1;0
valuable;2;gold, silver;('gold', 'plant');0;15
air;2;stern, wind;('wind', 'arrow');0;7
blow;2;stern, wind;('wind', 'tip');1;3
boat;2;stern, wind;('tent', 'stern');1;3
brisk;2;stern, wind;('wind', 'lunch');0;6
cold;2;stern, wind;('wind', 'sun');0;9
fierce;2;stern, wind;('wind', 'stern');1;0
force;2;stern, wind;('wind', 'arrow');1;4
harsh;2;stern, wind;('wind', 'stern');1;0
horn;2;stern, wind;('bow', 'silver');0;12
hurricane;2;stern, wind;('wind', 'stern');1;0
sail;2;stern, wind;('wind', 'bow');1;2
sailboat;2;stern, wind;('bow', 'stern');1;1
ship;2;stern, wind;('wind', 'stern');1;0
strong;2;stern, wind;('wind', 'loose');1;2
tornado;2;stern, wind;('wind', 'arrow');1;4
tough;2;stern, wind;('loose', 'stern');0;7
weather;2;stern, wind;('wind', 'sun');0;6
whip;2;stern, wind;('bow', 'cup');0;24
wind;2;stern, wind;('wind', 'sun');0;7
autoclave;2;sun, bowl;('plant', 'wind');0;151
breakfast;2;sun, bowl;('lunch', 'host');0;37
cereal;2;sun, bowl;('bowl', 'cup');0;21
chip;2;sun, bowl;('bowl', 'cup');0;23
circle;2;sun, bowl;('arrow', 'silver');0;104
contain;2;sun, bowl;('below', 'plant');0;97
curvature;2;sun, bowl;('tip', 'arrow');0;129
football;2;sun, bowl;('bowl', 'cup');0;10
heat;2;sun, bowl;('wind', 'sun');0;6
picnic;2;sun, bowl;('lunch', 'tent');0;37
plate;2;sun, bowl;('bowl', 'silver');0;64
raisin;2;sun, bowl;('cup', 'bowl');0;5
round;2;sun, bowl;('cup', 'bowl');0;41
set;2;sun, bowl;('gold', 'host');0;142
sphere;2;sun, bowl;('silver', 'arrow');0;40
sundae;2;sun, bowl;('bowl', 'lunch');0;15
angel;2;holy, kind;('tiny', 'holy');0;11
charity;2;holy, kind;('luck', 'holy');1;2
church;2;holy, kind;('holy', 'road');1;2
commandment;2;holy, kind;('holy', 'regret');0;6
commandments;2;holy, kind;('holy', 'regret');1;4
diet;2;holy, kind;('teeth', 'gums');0;49
emotion;2;holy, kind;('kind', 'regret');0;17
generous;2;holy, kind;('kind', 'rude');0;9
good;2;holy, kind;('kind', 'luck');0;5
lesson;2;holy, kind;('tool', 'regret');0;25
moral;2;holy, kind;('kind', 'regret');1;1
nice;2;holy, kind;('kind', 'luck');0;24
nun;2;holy, kind;('holy', 'tiny');1;3
preacher;2;holy, kind;('holy', 'hammer');1;2
priest;2;holy, kind;('holy', 'hammer');1;2
religion;2;holy, kind;('holy', 'kind');1;0
religious;2;holy, kind;('holy', 'kind');1;0
righteous;2;holy, kind;('holy', 'regret');1;3
saint;2;holy, kind;('holy', 'lane');0;6
virtue;2;holy, kind;('holy', 'luck');1;2
anger;2;rude, regret;('regret', 'rude');1;0
angry;2;rude, regret;('rude', 'regret');1;0
argument;2;rude, regret;('kind', 'paper');0;18
asshole;2;rude, regret;('rude', 'tiny');0;7
attitude;2;rude, regret;('kind', 'rude');1;1
bad;2;rude, regret;('luck', 'rude');1;3
bully;2;rude, regret;('rude', 'tool');0;11
consequence;2;rude, regret;('kind', 'regret');1;1
fight;2;rude, regret;('kind', 'luck');0;35
guilt;2;rude, regret;('regret', 'kind');0;8
hindsight;2;rude, regret;('regret', 'luck');1;2
impression;2;rude, regret;('kind', 'regret');1;2
insult;2;rude, regret;('rude', 'regret');1;0
mean;2;rude, regret;('kind', 'rude');1;4
misbehave;2;rude, regret;('rude', 'gums');1;1
mistake;2;rude, regret;('regret', 'luck');1;1
negative;2;rude, regret;('kind', 'rude');1;1
re;2;rude, regret;('luck', 'hammer');0;56
remorse;2;rude, regret;('regret', 'kind');1;1
shame;2;rude, regret;('regret', 'luck');1;2
sin;2;rude, regret;('regret', 'holy');0;9
sorry;2;rude, regret;('regret', 'rude');1;0
tantrum;2;rude, regret;('rude', 'regret');1;0
upset;2;rude, regret;('regret', 'rude');1;0
brush;2;teeth, gums;('teeth', 'gums');1;0
cavity;2;teeth, gums;('beam', 'teeth');1;2
dental;2;teeth, gums;('teeth', 'gums');1;0
dentist;2;teeth, gums;('teeth', 'gums');1;0
dentistry;2;teeth, gums;('teeth', 'gums');1;0
floss;2;teeth, gums;('gums', 'teeth');1;0
gingivitis;2;teeth, gums;('gums', 'teeth');1;0
mouth;2;teeth, gums;('teeth', 'gums');1;0
oral;2;teeth, gums;('teeth', 'gums');1;0
u;2;teeth, gums;('luck', 'regret');0;168
bed;2;dream, bet;('travel', 'sunny');0;36
belief;2;dream, bet;('path', 'leap');0;21
chance;2;dream, bet;('give', 'bet');1;2
dopamine;2;dream, bet;('glue', 'ankle');0;67
future;2;dream, bet;('give', 'dream');0;13
gamble;2;dream, bet;('bet', 'chief');0;6
goal;2;dream, bet;('run', 'dream');0;17
hope;2;dream, bet;('give', 'dream');1;3
imagine;2;dream, bet;('dream', 'bet');1;0
lottery;2;dream, bet;('bet', 'dream');1;0
luck;2;dream, bet;('bet', 'poor');1;1
millionaire;2;dream, bet;('dream', 'bet');1;0
money;2;dream, bet;('give', 'bet');0;5
nightmare;2;dream, bet;('dream', 'halo');0;11
predict;2;dream, bet;('give', 'bet');0;7
rich;2;dream, bet;('give', 'poor');0;27
risk;2;dream, bet;('poor', 'chief');0;64
stake;2;dream, bet;('bet', 'chief');0;20
uncertain;2;dream, bet;('path', 'poor');0;40
win;2;dream, bet;('run', 'bet');1;2
wish;2;dream, bet;('give', 'dream');1;2
wishful;2;dream, bet;('dream', 'leap');1;2
air;2;jump, leap;('travel', 'gun');0;93
bounce;2;jump, leap;('jump', 'leap');1;0
cliff;2;jump, leap;('jump', 'leap');1;0
elevate;2;jump, leap;('give', 'ankle');0;19
faith;2;jump, leap;('give', 'angel');0;43
frog;2;jump, leap;('leap', 'spoon');1;3
height;2;jump, leap;('jump', 'ankle');0;6
high;2;jump, leap;('run', 'poor');0;48
hop;2;jump, leap;('jump', 'bet');1;1
lift;2;jump, leap;('fork', 'ankle');0;36
motion;2;jump, leap;('leap', 'ankle');1;1
move;2;jump, leap;('jump', 'leap');1;0
prance;2;jump, leap;('jump', 'leap');1;0
skip;2;jump, leap;('jump', 'fork');1;4
skydive;2;jump, leap;('jump', 'leap');1;0
trampoline;2;jump, leap;('jump', 'leap');1;0
upward;2;jump, leap;('path', 'leap');1;2
vault;2;jump, leap;('jump', 'halo');0;13
accelerate;2;travel, ankle;('leap', 'path');0;127
ale;2;travel, ankle;('spoon', 'sunny');0;148
basketball;2;travel, ankle;('jump', 'bet');0;13
boot;2;travel, ankle;('ankle', 'run');0;17
break;2;travel, ankle;('run', 'jump');0;80
broken;2;travel, ankle;('poor', 'ankle');0;83
connector;2;travel, ankle;('path', 'glue');0;62
destination;2;travel, ankle;('travel', 'path');0;31
feet;2;travel, ankle;('jump', 'ankle');0;33
foot;2;travel, ankle;('ankle', 'jump');0;9
footpath;2;travel, ankle;('path', 'sunny');0;93
getaway;2;travel, ankle;('travel', 'sunny');0;33
globetrotter;2;travel, ankle;('travel', 'halo');0;10
hike;2;travel, ankle;('path', 'travel');0;32
joint;2;travel, ankle;('chief', 'ankle');0;11
leg;2;travel, ankle;('ankle', 'jump');0;14
movement;2;travel, ankle;('path', 'ankle');0;25
plane;2;travel, ankle;('path', 'travel');0;59
rotate;2;travel, ankle;('jump', 'paste');0;57
sandal;2;travel, ankle;('ankle', 'glue');0;8
shoe;2;travel, ankle;('ankle', 'glue');0;10
transportation;2;travel, ankle;('travel', 'chief');0;25
trap;2;travel, ankle;('gun', 'glue');0;184
trek;2;travel, ankle;('travel', 'halo');0;37
trip;2;travel, ankle;('travel', 'dream');0;14
twist;2;travel, ankle;('spoon', 'glue');0;76
vacation;2;travel, ankle;('travel', 'sunny');0;27
walk;2;travel, ankle;('run', 'path');0;103
baby;2;hand, birth;('birth', 'lion');1;4
body;2;hand, birth;('hand', 'birth');1;0
born;2;hand, birth;('birth', 'hell');0;7
c-section;2;hand, birth;('birth', 'exam');0;11
deliver;2;hand, birth;('fresh', 'exact');0;29
doctor;2;hand, birth;('birth', 'exam');0;5
doula;2;hand, birth;('birth', 'exam');0;9
finger;2;hand, birth;('hand', 'snake');0;15
fingerprint;2;hand, birth;('trace', 'test');0;56
first;2;hand, birth;('test', 'birth');0;6
god;2;hand, birth;('hell', 'birth');0;11
human;2;hand, birth;('test', 'birth');1;2
mark;2;hand, birth;('test', 'birth');0;6
masturbate;2;hand, birth;('hand', 'exam');0;15
midwife;2;hand, birth;('birth', 'exam');1;2
mother;2;hand, birth;('birth', 'tiger');1;1
newborn;2;hand, birth;('birth', 'lion');0;6
nurse;2;hand, birth;('exam', 'birth');0;11
right;2;hand, birth;('hand', 'hell');0;7
slap;2;hand, birth;('hell', 'hand');0;50
squeeze;2;hand, birth;('hand', 'fresh');0;76
tradition;2;hand, birth;('birth', 'pork');1;1
vagina;2;hand, birth;('birth', 'snake');1;1
animal;2;lion, tiger;('snake', 'lion');1;2
bear;2;lion, tiger;('lion', 'tiger');1;0
beast;2;lion, tiger;('hell', 'lion');1;3
cat;2;lion, tiger;('snake', 'lion');1;2
cheetah;2;lion, tiger;('lion', 'tiger');1;0
feline;2;lion, tiger;('lion', 'snake');1;1
mammal;2;lion, tiger;('snake', 'lion');1;2
roar;2;lion, tiger;('lion', 'tiger');1;0
safari;2;lion, tiger;('lion', 'tiger');1;0
wildcat;2;lion, tiger;('tiger', 'lion');1;0
zoo;2;lion, tiger;('lion', 'tiger');1;0
black;2;snake, ash;('ash', 'snake');1;0
burn;2;snake, ash;('hell', 'ash');0;26
camouflage;2;snake, ash;('tiger', 'snake');0;5
camp;2;snake, ash;('lion', 'pine');0;113
charm;2;snake, ash;('snake', 'clever');0;38
death;2;snake, ash;('birth', 'hell');0;58
desert;2;snake, ash;('snake', 'pine');0;10
dirt;2;snake, ash;('ash', 'trace');1;2
dragon;2;snake, ash;('snake', 'lion');0;10
fireplace;2;snake, ash;('pine', 'ash');0;23
grey;2;snake, ash;('ash', 'pine');1;1
hiss;2;snake, ash;('snake', 'alarm');1;3
molt;2;snake, ash;('pork', 'exam');0;9
pit;2;snake, ash;('hell', 'snake');1;1
poison;2;snake, ash;('snake', 'hell');1;1
punishment;2;snake, ash;('hell', 'storm');0;164
reptile;2;snake, ash;('snake', 'lion');0;11
reputation;2;snake, ash;('clever', 'storm');0;188
ritual;2;snake, ash;('birth', 'snake');0;17
scare;2;snake, ash;('hell', 'alarm');0;65
slip;2;snake, ash;('hand', 'snake');0;32
slither;2;snake, ash;('snake', 'hell');0;7
sly;2;snake, ash;('clever', 'snake');0;24
tree;2;snake, ash;('pine', 'ash');0;11
volcano;2;snake, ash;('ash', 'storm');1;2
you;2;snake, ash;('hell', 'exact');0;155
blister;2;crust, boot;('tear', 'crust');0;14
callus;2;crust, boot;('crust', 'bun');0;8
desert;2;crust, boot;('rock', 'river');0;51
dirt;2;crust, boot;('rock', 'tear');0;82
dirty;2;crust, boot;('dead', 'white');0;137
earth;2;crust, boot;('alive', 'crust');0;77
fisherman;2;crust, boot;('river', 'bear');0;119
footwear;2;crust, boot;('boot', 'ideal');0;10
grime;2;crust, boot;('rock', 'crust');0;26
ground;2;crust, boot;('stand', 'flat');0;121
hike;2;crust, boot;('river', 'bear');0;49
item;2;crust, boot;('found', 'chain');0;153
mud;2;crust, boot;('rock', 'river');0;35
old;2;crust, boot;('lost', 'dead');0;167
pizza;2;crust, boot;('crust', 'bun');0;14
shoe;2;crust, boot;('boot', 'flat');0;12
sock;2;crust, boot;('boot', 'bun');0;11
sole;2;crust, boot;('boot', 'flat');1;1
upper;2;crust, boot;('flat', 'river');0;15
backyard;2;elm, rock;('ideal', 'sit');0;43
climb;2;elm, rock;('sit', 'rock');0;51
earth;2;elm, rock;('alive', 'crust');0;85
firm;2;elm, rock;('chain', 'lemon');0;156
forest;2;elm, rock;('river', 'elm');0;12
ground;2;elm, rock;('stand', 'flat');0;134
hard;2;elm, rock;('stand', 'boot');0;135
hardwood;2;elm, rock;('flat', 'elm');0;10
heavy;2;elm, rock;('rock', 'chain');0;86
inanimate;2;elm, rock;('dead', 'alive');0;77
landform;2;elm, rock;('river', 'crust');0;42
landmark;2;elm, rock;('stand', 'river');0;6
landscape;2;elm, rock;('ideal', 'river');0;29
lichen;2;elm, rock;('crust', 'elm');1;4
moss;2;elm, rock;('lemon', 'elm');1;1
natural;2;elm, rock;('ideal', 'lemon');0;84
nature;2;elm, rock;('ideal', 'bear');0;134
outcropping;2;elm, rock;('rock', 'crust');1;3
outdoor;2;elm, rock;('ideal', 'stand');0;46
rigid;2;elm, rock;('flat', 'ideal');0;122
root;2;elm, rock;('lemon', 'elm');0;35
stone;2;elm, rock;('rock', 'white');1;1
tree;2;elm, rock;('elm', 'bear');0;5
unmoving;2;elm, rock;('sit', 'elm');0;46
wood;2;elm, rock;('flat', 'elm');1;3
action;2;sit, stand;('stand', 'bear');0;17
chair;2;sit, stand;('sit', 'stand');1;0
command;2;sit, stand;('boot', 'fill');0;27
concert;2;sit, stand;('rock', 'alive');0;38
desk;2;sit, stand;('stand', 'sit');1;0
kneel;2;sit, stand;('sit', 'stand');1;0
lab;2;sit, stand;('found', 'boot');0;117
leg;2;sit, stand;('boot', 'bun');0;19
legs;2;sit, stand;('sit', 'bun');1;2
move;2;sit, stand;('sit', 'stand');1;0
movement;2;sit, stand;('stand', 'ideal');0;38
position;2;sit, stand;('stand', 'ideal');1;1
posture;2;sit, stand;('sit', 'stand');1;0
s;2;sit, stand;('found', 'rock');0;142
stationary;2;sit, stand;('ideal', 'flat');0;14
still;2;sit, stand;('alive', 'lost');0;19
symphony;2;sit, stand;('rock', 'river');0;100
up;2;sit, stand;('found', 'lost');0;7
arrow;2;east, short;('wood', 'heart');0;55
cardinal;2;east, short;('wood', 'glass');0;134
coast;2;east, short;('east', 'timber');1;3
compass;2;east, short;('meter', 'glass');0;150
direction;2;east, short;('short', 'east');1;0
directionless;2;east, short;('empty', 'dim');0;50
distance;2;east, short;('short', 'meter');1;4
identification;2;east, short;('meter', 'timber');0;137
inch;2;east, short;('glass', 'meter');0;180
magnitude;2;east, short;('meter', 'dim');0;29
measurement;2;east, short;('meter', 'timber');0;124
navigate;2;east, short;('empty', 'dim');0;111
origin;2;east, short;('east', 'wood');0;11
physicality;2;east, short;('love', 'cage');0;175
road;2;east, short;('east', 'old');1;2
simple;2;east, short;('short', 'soft');0;168
small;2;east, short;('short', 'soft');0;82
sunrise;2;east, short;('east', 'dim');0;8
turn;2;east, short;('love', 'east');0;7
vector;2;east, short;('empty', 'meter');0;168
west;2;east, short;('east', 'new');0;5
animal;2;glass, cage;('cage', 'soft');0;11
aquarium;2;glass, cage;('glass', 'cage');1;0
bar;2;glass, cage;('kitchen', 'glass');0;8
barrier;2;glass, cage;('meter', 'cage');1;4
bird;2;glass, cage;('cage', 'wood');1;1
break;2;glass, cage;('hard', 'short');0;113
breakout;2;glass, cage;('short', 'cage');0;39
confine;2;glass, cage;('empty', 'cage');0;21
confines;2;glass, cage;('empty', 'cage');0;32
contain;2;glass, cage;('full', 'empty');0;117
container;2;glass, cage;('empty', 'glass');0;9
containment;2;glass, cage;('cage', 'timber');1;4
encase;2;glass, cage;('glass', 'soft');0;63
exhibit;2;glass, cage;('glass', 'east');0;14
fishtank;2;glass, cage;('kitchen', 'cage');1;2
fragile;2;glass, cage;('soft', 'worn');0;59
greenhouse;2;glass, cage;('timber', 'wood');0;25
louvre;2;glass, cage;('glass', 'cage');1;0
pantomime;2;glass, cage;('cage', 'boots');0;12
prism;2;glass, cage;('glass', 'meter');1;2
prison;2;glass, cage;('old', 'cage');0;21
shatter;2;glass, cage;('glass', 'boots');0;9
structure;2;glass, cage;('timber', 'cage');0;15
transparent;2;glass, cage;('glass', 'soft');0;21
trap;2;glass, cage;('cage', 'meter');0;10
view;2;glass, cage;('full', 'east');0;149
window;2;glass, cage;('glass', 'kitchen');0;7
zoo;2;glass, cage;('cage', 'east');0;10
age;2;old, new;('old', 'new');1;0
condition;2;old, new;('worn', 'heart');0;33
cycle;2;old, new;('short', 'meter');0;51
fresh;2;old, new;('soft', 'kitchen');0;35
friend;2;old, new;('love', 'old');0;13
generation;2;old, new;('new', 'old');1;0
god;2;old, new;('love', 'heart');0;41
grandparent;2;old, new;('old', 'love');0;5
hand-me-down;2;old, new;('worn', 'old');0;25
life;2;old, new;('love', 'heart');0;33
memory;2;old, new;('hard', 'dim');0;68
midlife;2;old, new;('heart', 'old');0;8
opposite;2;old, new;('east', 'empty');0;132
quality;2;old, new;('full', 'timber');0;101
restore;2;old, new;('old', 'dim');0;9
shop;2;old, new;('kitchen', 'boots');0;36
temporal;2;old, new;('heart', 'soft');0;139
time;2;old, new;('hard', 'new');0;9
use;2;old, new;('new', 'heavy');0;19
wedding;2;old, new;('love', 'kitchen');0;61
band;2;army, drum;('drum', 'army');1;0
battle;2;army, drum;('army', 'giant');1;4
beat;2;army, drum;('tough', 'drum');0;7
bugle;2;army, drum;('drum', 'army');1;0
fighter;2;army, drum;('army', 'tough');0;10
march;2;army, drum;('happy', 'army');0;7
militant;2;army, drum;('army', 'tough');0;8
military;2;army, drum;('army', 'land');0;8
patriotism;2;army, drum;('army', 'sad');0;75
revolution;2;army, drum;('army', 'drum');1;0
soldier;2;army, drum;('army', 'sad');0;8
strike;2;army, drum;('army', 'tough');0;7
war;2;army, drum;('army', 'land');1;4
wartime;2;army, drum;('army', 'rural');0;22
background;2;giant, subtle;('style', 'subtle');0;18
beanstalk;2;giant, subtle;('giant', 'tall');0;13
big;2;giant, subtle;('giant', 'tough');0;17
broad;2;giant, subtle;('subtle', 'rural');0;24
cloud;2;giant, subtle;('giant', 'land');0;12
clue;2;giant, subtle;('sad', 'subtle');0;14
conspicuous;2;giant, subtle;('subtle', 'tall');0;6
difficult;2;giant, subtle;('tough', 'sad');0;48
drastic;2;giant, subtle;('subtle', 'tough');0;12
elephant;2;giant, subtle;('giant', 'ride');0;26
extreme;2;giant, subtle;('tough', 'ride');0;24
flaw;2;giant, subtle;('subtle', 'sad');1;1
gentle;2;giant, subtle;('subtle', 'ride');0;13
gesture;2;giant, subtle;('subtle', 'sad');0;8
hint;2;giant, subtle;('subtle', 'cake');0;10
huge;2;giant, subtle;('giant', 'tall');0;15
mistake;2;giant, subtle;('sad', 'tough');0;33
movement;2;giant, subtle;('style', 'subtle');0;28
ninja;2;giant, subtle;('giant', 'army');0;66
noticeable;2;giant, subtle;('subtle', 'fine');0;14
obvious;2;giant, subtle;('subtle', 'sad');0;7
opposite;2;giant, subtle;('floor', 'subtle');0;21
oxymoron;2;giant, subtle;('sad', 'subtle');0;9
quiet;2;giant, subtle;('sad', 'acre');0;111
size;2;giant, subtle;('style', 'tall');0;92
subdue;2;giant, subtle;('army', 'land');0;18
sun;2;giant, subtle;('giant', 'ride');0;10
unfathomable;2;giant, subtle;('sad', 'subtle');1;4
unnoticed;2;giant, subtle;('subtle', 'sad');0;13
bipolar;2;happy, sad;('sad', 'drum');1;2
emotion;2;happy, sad;('subtle', 'sad');1;4
feeling;2;happy, sad;('sad', 'happy');1;0
marriage;2;happy, sad;('happy', 'gift');1;2
mood;2;happy, sad;('happy', 'sad');1;0
oppose;2;happy, sad;('land', 'rural');0;60
blank;2;candle, wick;('layer', 'silly');0;125
board;2;candle, wick;('king', 'guest');0;180
burn;2;candle, wick;('candle', 'wick');1;0
cake;2;candle, wick;('candle', 'layer');0;13
fire;2;candle, wick;('candle', 'wick');1;0
flame;2;candle, wick;('candle', 'wick');1;0
holiday;2;candle, wick;('guest', 'candle');0;25
it;2;candle, wick;('happen', 'real');0;184
lamp;2;candle, wick;('candle', 'wick');1;0
light;2;candle, wick;('candle', 'olive');1;1
match;2;candle, wick;('real', 'happen');0;130
melt;2;candle, wick;('layer', 'wick');0;5
smell;2;candle, wick;('weird', 'candle');1;1
wax;2;candle, wick;('candle', 'wick');1;0
branch;2;olive, real;('real', 'olive');1;0
eat;2;olive, real;('sleep', 'weird');0;52
edible;2;olive, real;('olive', 'candle');0;8
food;2;olive, real;('weird', 'olive');1;2
genuine;2;olive, real;('real', 'anger');0;6
green;2;olive, real;('olive', 'candle');1;1
grow;2;olive, real;('happen', 'fly');0;33
health;2;olive, real;('sleep', 'trauma');0;35
martini;2;olive, real;('olive', 'candle');0;10
natural;2;olive, real;('real', 'olive');1;0
nonfiction;2;olive, real;('male', 'trauma');0;110
oil;2;olive, real;('olive', 'candle');0;5
organic;2;olive, real;('olive', 'layer');0;8
pit;2;olive, real;('rage', 'anger');0;186
salt;2;olive, real;('olive', 'layer');0;5
skin;2;olive, real;('sore', 'layer');0;70
taste;2;olive, real;('weird', 'olive');1;1
tree;2;olive, real;('candle', 'hammock');0;22
truth;2;olive, real;('real', 'happen');0;61
vegetable;2;olive, real;('olive', 'candle');0;9
virgin;2;olive, real;('olive', 'male');1;3
abnormal;2;weird, trauma;('weird', 'trauma');1;0
accident;2;weird, trauma;('happen', 'trauma');1;1
clown;2;weird, trauma;('silly', 'weird');0;30
concussion;2;weird, trauma;('trauma', 'sore');0;9
crazy;2;weird, trauma;('weird', 'silly');0;41
creepy;2;weird, trauma;('weird', 'silly');0;13
difficult;2;weird, trauma;('happen', 'silly');0;11
dysfunction;2;weird, trauma;('trauma', 'male');0;22
eerie;2;weird, trauma;('weird', 'silly');0;5
emergency;2;weird, trauma;('trauma', 'wick');0;18
feeling;2;weird, trauma;('weird', 'sore');0;20
hallucination;2;weird, trauma;('trauma', 'rage');1;1
horror;2;weird, trauma;('weird', 'rage');1;1
hospital;2;weird, trauma;('trauma', 'sleep');0;8
hurt;2;weird, trauma;('happen', 'sore');0;35
incident;2;weird, trauma;('happen', 'trauma');0;6
injury;2;weird, trauma;('trauma', 'sore');0;12
insanity;2;weird, trauma;('rage', 'anger');0;25
memorable;2;weird, trauma;('guest', 'silly');0;29
minority;2;weird, trauma;('male', 'anger');0;31
misdiagnosis;2;weird, trauma;('trauma', 'sore');0;9
nightmare;2;weird, trauma;('weird', 'rage');0;5
paranormal;2;weird, trauma;('weird', 'trauma');1;0
psychoanalysis;2;weird, trauma;('trauma', 'anger');0;8
rollercoaster;2;weird, trauma;('rage', 'weird');0;16
scar;2;weird, trauma;('sore', 'trauma');0;18
school;2;weird, trauma;('real', 'king');0;28
shock;2;weird, trauma;('trauma', 'rage');0;5
stab;2;weird, trauma;('toe', 'trauma');0;19
strange;2;weird, trauma;('weird', 'silly');0;12
trigger;2;weird, trauma;('happen', 'trauma');0;15
uncomfortable;2;weird, trauma;('weird', 'sore');0;10
unusual;2;weird, trauma;('weird', 'silly');0;8
you;2;weird, trauma;('happen', 'real');0;121
